epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,151.095,1.87599,1.32905,1.36966,0.22823,0.23495,0.1908,0.0521,2.69842,2.02683,1.87417,0.000759371,0.000759371,0.000759371
73,152.908,1.89156,1.34053,1.35102,0.36451,0.23605,0.21525,0.05944,2.71179,2.0188,1.86272,0.000749939,0.000749939,0.000749939
74,155.076,1.85756,1.31753,1.36019,0.27422,0.24858,0.21233,0.06065,2.81071,2.01037,1.93803,0.000740508,0.000740508,0.000740508
75,157.017,1.87454,1.29085,1.34514,0.32601,0.2355,0.22717,0.06022,2.80396,2.09949,1.93113,0.000731076,0.000731076,0.000731076
76,158.77,1.86774,1.27648,1.35775,0.40601,0.27188,0.20781,0.05714,2.77779,2.10672,1.94673,0.000721645,0.000721645,0.000721645
77,160.491,1.88496,1.29092,1.34501,0.24359,0.22231,0.19415,0.05525,2.73951,2.18124,1.87898,0.000712214,0.000712214,0.000712214
78,162.213,1.912,1.30523,1.37813,0.25493,0.23588,0.19166,0.05373,2.83904,2.2044,1.96968,0.000702782,0.000702782,0.000702782
79,163.953,1.89141,1.29518,1.35916,0.25556,0.21999,0.1882,0.04863,2.76675,2.11662,1.89915,0.000693351,0.000693351,0.000693351
80,165.873,1.89898,1.28564,1.33638,0.45515,0.23291,0.22581,0.06995,2.76476,2.11592,1.91993,0.000683919,0.000683919,0.000683919
81,167.737,1.83265,1.31298,1.34076,0.4518,0.23011,0.21614,0.06581,2.70158,2.00742,1.86712,0.000674488,0.000674488,0.000674488
82,169.405,1.82259,1.22388,1.32077,0.42282,0.24271,0.21894,0.05917,2.84126,2.01996,2.00063,0.000665057,0.000665057,0.000665057
83,171.311,1.8256,1.25493,1.33286,0.53666,0.23816,0.22852,0.06751,2.82972,2.1257,1.98617,0.000655625,0.000655625,0.000655625
84,173.246,1.82343,1.2508,1.31906,0.41006,0.24805,0.21673,0.0646,2.83144,2.00089,1.987,0.000646194,0.000646194,0.000646194
85,175.341,1.78738,1.22539,1.32851,0.28119,0.23758,0.22177,0.0637,2.75234,2.00105,1.91073,0.000636762,0.000636762,0.000636762
86,177.472,1.82103,1.22957,1.31889,0.2826,0.22415,0.20183,0.05915,2.71593,2.00277,1.86912,0.000627331,0.000627331,0.000627331
87,179.625,1.80996,1.29959,1.3613,0.29757,0.22793,0.21541,0.05503,2.74968,2.04398,1.89279,0.0006179,0.0006179,0.0006179
88,181.617,1.84047,1.35523,1.32628,0.48006,0.24721,0.20882,0.05813,2.73176,2.15512,1.86234,0.000608468,0.000608468,0.000608468
89,183.711,1.81316,1.22024,1.32713,0.39575,0.21593,0.21639,0.06011,2.80593,2.16508,1.94624,0.000599037,0.000599037,0.000599037
90,185.41,1.80029,1.20545,1.30538,0.25909,0.30563,0.24216,0.06638,2.72584,2.02437,1.87075,0.000589605,0.000589605,0.000589605
91,187.388,1.75068,1.19593,1.31046,0.32016,0.21749,0.22122,0.05634,2.78844,1.9725,1.92603,0.000580174,0.000580174,0.000580174
92,189.358,1.83375,1.237,1.3157,0.64387,0.21764,0.20784,0.05705,2.77607,2.05656,1.89996,0.000570743,0.000570743,0.000570743
93,191.136,1.80433,1.21593,1.32379,0.60965,0.23642,0.20499,0.05414,2.78883,2.04663,1.93304,0.000561311,0.000561311,0.000561311
94,192.865,1.77691,1.17373,1.29716,0.32232,0.21057,0.21524,0.05975,2.76374,2.01771,1.93209,0.00055188,0.00055188,0.00055188
95,194.607,1.80204,1.20158,1.32345,0.31293,0.21065,0.22283,0.06509,2.79426,2.0227,1.99228,0.000542448,0.000542448,0.000542448
96,196.55,1.75315,1.15068,1.25766,0.44954,0.23926,0.22664,0.06792,2.79007,2.07101,1.93628,0.000533017,0.000533017,0.000533017
97,198.437,1.76274,1.1531,1.28541,0.41651,0.23475,0.21725,0.0693,2.76676,2.12953,1.94946,0.000523586,0.000523586,0.000523586
98,200.299,1.83509,1.22784,1.34508,0.42089,0.25824,0.22205,0.06762,2.76192,2.06395,1.93782,0.000514154,0.000514154,0.000514154
99,202.312,1.76534,1.14235,1.28521,0.25069,0.25972,0.1999,0.05583,2.81425,2.03489,2.00515,0.000504723,0.000504723,0.000504723
100,203.888,1.74099,1.12462,1.28428,0.28332,0.21836,0.19797,0.05714,2.75562,1.98902,1.9063,0.000495291,0.000495291,0.000495291
101,205.959,1.66777,1.09008,1.22564,0.34154,0.21998,0.21529,0.0636,2.78241,2.0288,1.94958,0.00048586,0.00048586,0.00048586
102,207.851,1.72291,1.11359,1.24742,0.33005,0.22558,0.22027,0.06066,2.79371,2.00203,1.96196,0.000476429,0.000476429,0.000476429
103,209.817,1.68841,1.10433,1.26547,0.32386,0.21005,0.20729,0.05718,2.78798,2.03736,1.97065,0.000466997,0.000466997,0.000466997
104,212.207,1.73103,1.11639,1.23775,0.37144,0.20995,0.22581,0.06499,2.73958,2.08179,1.90368,0.000457566,0.000457566,0.000457566
105,214.157,1.66003,1.11515,1.23518,0.42876,0.26162,0.22694,0.07166,2.7432,2.01101,1.91157,0.000448134,0.000448134,0.000448134
106,216.006,1.71939,1.11483,1.2709,0.31346,0.27265,0.19885,0.06161,2.74758,2.15851,1.91157,0.000438703,0.000438703,0.000438703
107,217.837,1.69931,1.10552,1.24972,0.27653,0.21211,0.19556,0.05862,2.79177,2.24713,1.93681,0.000429272,0.000429272,0.000429272
108,219.891,1.70918,1.12096,1.26353,0.33423,0.2091,0.22254,0.06424,2.78694,2.11661,1.94729,0.00041984,0.00041984,0.00041984
109,221.869,1.66043,1.09202,1.26752,0.35676,0.20285,0.21843,0.05864,2.83456,2.06135,2.01258,0.000410409,0.000410409,0.000410409
110,223.688,1.68686,1.06448,1.26087,0.31224,0.22877,0.21939,0.05889,2.83352,2.05101,1.96583,0.000400977,0.000400977,0.000400977
111,225.767,1.70187,1.11835,1.25109,0.40352,0.25112,0.22325,0.06338,2.81419,2.00029,1.94647,0.000391546,0.000391546,0.000391546
112,227.688,1.71291,1.13073,1.25331,0.38962,0.24734,0.21852,0.06607,2.80573,2.018,1.97917,0.000382115,0.000382115,0.000382115
113,229.651,1.70314,1.1047,1.2572,0.38914,0.23338,0.21139,0.05907,2.82771,2.07337,2.01657,0.000372683,0.000372683,0.000372683
114,231.511,1.68501,1.07895,1.23543,0.40908,0.26871,0.22476,0.06325,2.82331,2.06354,1.99143,0.000363252,0.000363252,0.000363252
