epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,62.5325,1.80615,1.22495,1.29882,0.49329,0.18644,0.22915,0.07088,2.83784,2.21835,2.08755,0.000218,0.000218,0.000218
92,63.3665,1.85566,1.25591,1.32591,0.55857,0.17168,0.2382,0.06808,2.80721,2.25114,2.07395,0.0001982,0.0001982,0.0001982
93,64.0678,1.91892,1.26079,1.3917,0.55857,0.17168,0.2382,0.06808,2.80721,2.25114,2.07395,0.0001784,0.0001784,0.0001784
94,64.6304,1.86229,1.20798,1.33906,0.30642,0.25424,0.24632,0.0689,2.79749,2.24094,2.08927,0.0001586,0.0001586,0.0001586
95,65.0613,1.90951,1.21025,1.31011,0.37946,0.23729,0.22238,0.06351,2.80334,2.25798,2.11016,0.0001388,0.0001388,0.0001388
96,65.4774,1.82626,1.20145,1.2907,0.33516,0.23729,0.22396,0.06229,2.81246,2.24531,2.11675,0.000119,0.000119,0.000119
97,65.8549,1.78198,1.13503,1.29469,0.33516,0.23729,0.22396,0.06229,2.81246,2.24531,2.11675,9.92e-05,9.92e-05,9.92e-05
98,66.2775,1.78492,1.13186,1.30315,0.34593,0.25424,0.22039,0.0666,2.83269,2.25694,2.12301,7.94e-05,7.94e-05,7.94e-05
99,66.7319,1.7932,1.16874,1.32918,0.33487,0.23729,0.19716,0.06397,2.8329,2.25852,2.13133,5.96e-05,5.96e-05,5.96e-05
100,67.1462,1.80715,1.14904,1.29852,0.28918,0.25424,0.19808,0.06404,2.84718,2.24865,2.1347,3.98e-05,3.98e-05,3.98e-05
